src,dst,count,source_color,destination_color
Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St,160,#3358FF,#FF3F33
Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,108,#3358FF,#FF3F33
Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St,95,#3358FF,#FF3F33
NE Pacific St/UW Medical Center,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,67,#3358FF,#FF3F33
Westlake Ave & 6th Ave,Dexter Ave N & Aloha St,61,#3358FF,#FF3F33
Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,57,#3358FF,#FF3F33
Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,NE Pacific St/UW Medical Center,53,#3358FF,#FF3F33
Pier 69 / Alaskan Way & Clay St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,49,#3358FF,#FF3F33
Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,46,#3358FF,#FF3F33
Westlake Ave & 6th Ave,1st Ave & Marion St,46,#3358FF,#FF3F33
Lake Union Park / Valley St & Boren Ave N,Lake Union Park / Valley St & Boren Ave N,44,#3358FF,#FF3F33
Dexter Ave N & Aloha St,Westlake Ave & 6th Ave,41,#3358FF,#FF3F33
E Pine St & 16th Ave,Pine St & 9th Ave,41,#3358FF,#FF3F33
Pier 66 / Alaskan Way & Bell St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,41,#3358FF,#FF3F33
Pier 69 / Alaskan Way & Clay St,Occidental Park / Occidental Ave S & S Washington St,40,#3358FF,#FF3F33
Dexter Ave N & Aloha St,Terry Ave & Stewart St,39,#3358FF,#FF3F33
E Pine St & 16th Ave,Westlake Ave & 6th Ave,38,#3358FF,#FF3F33
3rd Ave & Broad St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,38,#3358FF,#FF3F33
Terry Ave & Stewart St,Dexter Ave N & Aloha St,37,#3358FF,#FF3F33
Occidental Park / Occidental Ave S & S Washington St,Pier 69 / Alaskan Way & Clay St,37,#3358FF,#FF3F33
3rd Ave & Broad St,2nd Ave & Pine St,36,#3358FF,#FF3F33
Occidental Park / Occidental Ave S & S Washington St,2nd Ave & Pine St,35,#3358FF,#FF3F33
Pier 69 / Alaskan Way & Clay St,1st Ave & Marion St,35,#3358FF,#FF3F33
2nd Ave & Pine St,Occidental Park / Occidental Ave S & S Washington St,34,#3358FF,#FF3F33
15th Ave E & E Thomas St,E Pine St & 16th Ave,34,#3358FF,#FF3F33
Summit Ave & E Denny Way,1st Ave & Marion St,34,#3358FF,#FF3F33
12th Ave & E Mercer St,Republican St & Westlake Ave N,33,#3358FF,#FF3F33
3rd Ave & Broad St,Pier 69 / Alaskan Way & Clay St,32,#3358FF,#FF3F33
Thomas St & 5th Ave N,Thomas St & 5th Ave N,32,#3358FF,#FF3F33
E Pine St & 16th Ave,Union St & 4th Ave,32,#3358FF,#FF3F33
3rd Ave & Broad St,Occidental Park / Occidental Ave S & S Washington St,31,#3358FF,#FF3F33
Pier 66 / Alaskan Way & Bell St,Pier 69 / Alaskan Way & Clay St,31,#3358FF,#FF3F33
Thomas St & 5th Ave N,Pier 69 / Alaskan Way & Clay St,31,#3358FF,#FF3F33
E Blaine St & Fairview Ave E,Lake Union Park / Valley St & Boren Ave N,30,#3358FF,#FF3F33
Lake Union Park / Valley St & Boren Ave N,E Blaine St & Fairview Ave E,29,#3358FF,#FF3F33
E Pine St & 16th Ave,15th Ave E & E Thomas St,29,#3358FF,#FF3F33
Pier 66 / Alaskan Way & Bell St,Pier 66 / Alaskan Way & Bell St,27,#3358FF,#FF3F33
15th Ave E & E Thomas St,Cal Anderson Park / 11th Ave & Pine St,27,#3358FF,#FF3F33
1st Ave & Marion St,Pier 69 / Alaskan Way & Clay St,27,#3358FF,#FF3F33
King Street Station Plaza / 2nd Ave Extension S & S Jackson St,Pier 69 / Alaskan Way & Clay St,27,#3358FF,#FF3F33
Key Arena / 1st Ave N & Harrison St,2nd Ave & Pine St,26,#3358FF,#FF3F33
E Harrison St & Broadway Ave E,Cal Anderson Park / 11th Ave & Pine St,26,#3358FF,#FF3F33
Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Key Arena / 1st Ave N & Harrison St,26,#3358FF,#FF3F33
6th Ave & Blanchard St,9th Ave N & Mercer St,26,#3358FF,#FF3F33
Cal Anderson Park / 11th Ave & Pine St,PATH / 9th Ave & Westlake Ave,26,#3358FF,#FF3F33
Pier 69 / Alaskan Way & Clay St,Key Arena / 1st Ave N & Harrison St,25,#3358FF,#FF3F33
NE Pacific St/UW Medical Center,NE Pacific St/UW Medical Center,25,#3358FF,#FF3F33
E Blaine St & Fairview Ave E,Key Arena / 1st Ave N & Harrison St,25,#3358FF,#FF3F33
Bellevue Ave & E Pine St,REI / Yale Ave N & John St,25,#3358FF,#FF3F33
12th Ave & E Mercer St,Cal Anderson Park / 11th Ave & Pine St,24,#3358FF,#FF3F33
Dexter Ave N & Aloha St,Republican St & Westlake Ave N,24,#3358FF,#FF3F33
1st Ave & Marion St,1st Ave & Marion St,24,#3358FF,#FF3F33
Dexter Ave N & Aloha St,Dexter Ave N & Aloha St,24,#3358FF,#FF3F33
2nd Ave & Vine St,Westlake Ave & 6th Ave,24,#3358FF,#FF3F33
Broadway and E Denny Way,Cal Anderson Park / 11th Ave & Pine St,24,#3358FF,#FF3F33
Summit Ave E & E Republican St,Republican St & Westlake Ave N,24,#3358FF,#FF3F33
Summit Ave E & E Republican St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,23,#3358FF,#FF3F33
6th Ave S & S King St,6th Ave S & S King St,23,#3358FF,#FF3F33
2nd Ave & Spring St,Occidental Park / Occidental Ave S & S Washington St,23,#3358FF,#FF3F33
3rd Ave & Broad St,3rd Ave & Broad St,23,#3358FF,#FF3F33
Bellevue Ave & E Pine St,Westlake Ave & 6th Ave,23,#3358FF,#FF3F33
Broadway and E Denny Way,E Pine St & 16th Ave,23,#3358FF,#FF3F33
Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,3rd Ave & Broad St,23,#3358FF,#FF3F33
Broadway and E Denny Way,Summit Ave E & E Republican St,22,#3358FF,#FF3F33
2nd Ave & Pine St,Pier 69 / Alaskan Way & Clay St,22,#3358FF,#FF3F33
12th Ave & E Mercer St,Pine St & 9th Ave,22,#3358FF,#FF3F33
Key Arena / 1st Ave N & Harrison St,2nd Ave & Vine St,21,#3358FF,#FF3F33
Broadway and E Denny Way,E Harrison St & Broadway Ave E,21,#3358FF,#FF3F33
Key Arena / 1st Ave N & Harrison St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,21,#3358FF,#FF3F33
2nd Ave & Vine St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,21,#3358FF,#FF3F33
3rd Ave & Broad St,2nd Ave & Blanchard St,21,#3358FF,#FF3F33
2nd Ave & Pine St,3rd Ave & Broad St,21,#3358FF,#FF3F33
12th Ave & E Mercer St,2nd Ave & Spring St,21,#3358FF,#FF3F33
E Pine St & 16th Ave,E Harrison St & Broadway Ave E,20,#3358FF,#FF3F33
E Pine St & 16th Ave,REI / Yale Ave N & John St,20,#3358FF,#FF3F33
Key Arena / 1st Ave N & Harrison St,Pier 69 / Alaskan Way & Clay St,20,#3358FF,#FF3F33
9th Ave N & Mercer St,Westlake Ave & 6th Ave,20,#3358FF,#FF3F33
6th Ave & Blanchard St,6th Ave & Blanchard St,20,#3358FF,#FF3F33
Cal Anderson Park / 11th Ave & Pine St,E Harrison St & Broadway Ave E,20,#3358FF,#FF3F33
3rd Ave & Broad St,PATH / 9th Ave & Westlake Ave,20,#3358FF,#FF3F33
REI / Yale Ave N & John St,Westlake Ave & 6th Ave,20,#3358FF,#FF3F33
Cal Anderson Park / 11th Ave & Pine St,Seattle University / E Columbia St & 12th Ave,20,#3358FF,#FF3F33
Bellevue Ave & E Pine St,2nd Ave & Spring St,19,#3358FF,#FF3F33
PATH / 9th Ave & Westlake Ave,9th Ave N & Mercer St,19,#3358FF,#FF3F33
Republican St & Westlake Ave N,Dexter Ave N & Aloha St,19,#3358FF,#FF3F33
Bellevue Ave & E Pine St,2nd Ave & Pine St,19,#3358FF,#FF3F33
Occidental Park / Occidental Ave S & S Washington St,Occidental Park / Occidental Ave S & S Washington St,19,#3358FF,#FF3F33
Eastlake Ave E & E Allison St,12th Ave & NE Campus Pkwy,19,#3358FF,#FF3F33
Lake Union Park / Valley St & Boren Ave N,Eastlake Ave E & E Allison St,19,#3358FF,#FF3F33
E Pine St & 16th Ave,2nd Ave & Pine St,19,#3358FF,#FF3F33
12th Ave & E Denny Way,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,19,#3358FF,#FF3F33
